feature,f_score,rank,selected
u_span_sec,2.8714524245274733,1,1
i_credit_last,1.9135432603773845,2,1
i_share_last,1.9135432603773843,3,1
i_n_users,0.18041392634692838,4,1
i_n_covisit_neighbors,0.13200758924462563,5,1
i_credit_first,0.13165082486616392,6,1
i_share_first,0.13165082486616392,7,1
i_log1p_n_users,0.10925657762958868,8,1
i_n_exp,0.0904667759556186,9,1
ui_pop_mismatch,0.06940732854163859,10,1
i_credit_linear,0.06258016166641468,11,1
i_share_linear,0.06258016166641467,12,1
i_log1p_n_exp,0.04239062888248948,13,1
i_log1p_n_covisit,0.033838100348588,14,1
u_n_exp,0.027638480225246908,15,1
u_n_uniq_items,0.025786257813484103,16,0
u_log1p_n_uniq,0.01012588678948844,17,0
u_n_events,0.00412463705798199,18,0
u_log1p_n_events,4.4828918919329875e-05,19,0
