feature,f_score,rank,selected
i_share_linear,1.0608037700794823,1,1
i_credit_linear,1.0608037700794817,2,1
i_share_first,1.057059055464613,3,1
i_credit_first,1.057059055464613,4,1
i_log1p_n_users,0.8403116379683642,5,1
i_log1p_n_covisit,0.7725470364490851,6,1
i_n_covisit_neighbors,0.69709144342352,7,1
i_log1p_n_exp,0.6657768327874677,8,1
i_n_users,0.651622232629598,9,1
i_n_exp,0.5196608065904847,10,1
ui_pop_mismatch,0.291417382295958,11,1
u_log1p_n_events,0.220972711807162,12,1
u_n_events,0.06322710387174099,13,1
u_log1p_n_uniq,0.04037759972045162,14,1
i_share_last,0.033552797323624095,15,1
i_credit_last,0.03355279732362404,16,0
u_n_exp,0.029810468578417286,17,0
e_log1p_exp,0.011736806073662454,18,0
e_n_exp,0.011190800664485077,19,0
u_span_sec,0.0036197989547304514,20,0
u_n_uniq_items,1.8243485739966747e-05,21,0
